Dropoff Community Area,Ride Date,Total Number of Rides,Average Ride Length
1,09/26/2014,324,5.213981481481481
1,04/21/2015,255,5.277372549019604
1,09/26/2015,370,5.1722972972972965
1,04/21/2014,342,6.718274853801162
1,09/26/2016,146,5.507534246575342
1,04/21/2017,145,5.672620689655173
1,04/21/2016,196,6.634285714285711
1,07/28/2017,89,5.283483146067415
1,07/28/2016,224,5.816250000000001
1,07/28/2013,230,6.126913043478258
1,07/28/2015,215,5.792511627906971
1,07/28/2014,253,5.39865612648221
1,11/18/2016,164,5.9506707317073175
1,11/18/2013,201,5.256517412935322
1,11/18/2015,190,12.87568421052631
1,11/18/2014,276,5.607971014492751
1,12/03/2016,169,4.863372781065088
1,12/03/2015,285,5.642105263157892
1,12/13/2013,322,4.430683229813665
1,09/19/2016,160,4.8935625
1,04/14/2016,234,5.4441025641025655
1,04/14/2017,146,5.717945205479453
1,04/14/2014,317,4.7747318611987355
1,09/19/2013,198,5.256060606060606
1,04/14/2015,320,5.206187499999994
1,09/19/2014,356,5.7113202247191
1,09/19/2015,347,5.4948126801152695
1,04/14/2013,265,6.757773584905661
1,03/20/2016,352,4.939460227272725
1,03/20/2017,144,5.443472222222223
1,12/13/2015,328,4.643506097560974
1,12/13/2014,421,4.897030878859852
1,03/20/2013,146,6.068287671232879
1,03/20/2014,314,5.587515923566878
1,03/20/2015,357,9.484957983193276
1,12/13/2016,136,5.409485294117647
1,10/22/2016,231,4.862207792207794
1,10/22/2014,272,5.327352941176471
1,10/22/2015,245,5.188897959183673
1,09/09/2015,183,6.142131147540984
1,09/09/2016,163,5.238282208588956
1,09/09/2013,131,4.023053435114505
1,09/09/2014,223,5.266143497757849
1,04/19/2015,454,5.116563876651982
1,04/19/2016,204,4.809705882352943
1,04/19/2013,219,6.714931506849313
1,04/19/2014,439,4.713872437357631
1,04/19/2017,109,5.630733944954128
1,10/22/2013,145,5.100551724137931
1,11/08/2016,136,5.265
1,11/08/2015,388,5.096108247422684
1,11/08/2014,396,4.919242424242423
1,11/08/2013,227,4.498986784140969
1,02/25/2013,170,6.9207647058823545
1,04/04/2017,131,6.582824427480917
1,04/04/2016,213,6.010375586854464
1,11/26/2015,249,4.415502008032132
1,04/04/2015,328,4.778993902439022
1,11/26/2016,129,5.330310077519381
1,05/01/2017,135,5.716222222222223
1,11/26/2013,202,5.302524752475248
1,04/04/2014,471,5.300106157112526
1,04/04/2013,154,5.7558441558441595
1,11/26/2014,230,5.1116521739130425
1,05/31/2013,176,5.938352272727271
1,05/01/2014,310,5.651193548387098
1,05/31/2014,476,4.779075630252098
1,05/31/2015,431,5.082134570765662
1,05/01/2013,140,7.911285714285714
1,03/19/2013,139,6.233741007194245
1,05/01/2016,220,4.769590909090907
1,05/31/2016,158,4.985949367088606
1,05/01/2015,334,5.207245508982037
1,05/31/2017,90,5.690111111111111
1,03/19/2015,300,6.2453
1,03/19/2014,265,5.189169811320757
1,03/19/2017,150,5.435466666666667
1,03/19/2016,344,4.831831395348836
1,12/11/2013,221,4.91814479638009
1,12/11/2014,295,5.584542372881352
1,12/11/2015,275,5.159490909090906
1,12/11/2016,163,4.6895092024539915
1,02/25/2014,278,5.040215827338132
1,02/25/2015,293,4.912081911262798
1,02/25/2016,232,5.707413793103456
1,02/25/2017,174,4.948275862068963
1,07/05/2013,175,5.356571428571428
1,07/05/2014,407,4.90606879606879
1,07/05/2017,91,6.475934065934067
1,07/05/2015,358,9.782709497206705
1,07/05/2016,172,7.733953488372088
1,03/09/2014,429,5.7379953379953355
1,06/28/2013,202,4.7532178217821786
1,06/28/2014,473,4.393361522198729
1,03/09/2013,210,7.657285714285712
1,06/28/2015,497,4.509657947686112
1,12/21/2015,211,5.957725118483412
1,06/28/2016,148,6.364256756756757
1,12/21/2016,107,5.228411214953271
1,12/21/2013,335,3.7589552238805997
1,06/28/2017,73,7.556849315068497
1,12/21/2014,331,4.10311178247734
1,03/09/2017,126,5.904603174603174
1,03/09/2016,226,6.419159292035396
1,03/09/2015,363,5.717575757575758
1,12/03/2014,251,5.333346613545817
1,12/03/2013,178,5.114269662921352
1,01/05/2017,119,6.587731092436971
1,01/05/2016,184,4.570380434782607
1,01/05/2015,306,5.134640522875816
1,01/05/2014,317,4.062712933753945
1,01/05/2013,174,7.223793103448282
1,09/04/2016,193,4.981658031088083
1,09/04/2014,279,5.206774193548387
1,12/31/2014,365,5.7233424657534275
1,12/31/2015,336,4.736488095238096
1,09/04/2015,289,10.447301038062278
1,12/31/2016,184,4.413913043478263
1,09/04/2013,134,3.4601492537313447
1,12/31/2013,329,4.8108814589665645
1,11/16/2013,337,3.7723442136498497
1,11/16/2016,122,5.713852459016392
1,11/16/2015,198,13.457525252525258
1,11/16/2014,393,4.481806615776082
1,08/09/2015,389,4.673007712082262
1,08/09/2014,478,4.847384937238494
1,08/09/2016,117,5.57931623931624
1,08/26/2016,154,5.9544155844155835
1,08/26/2015,218,5.369678899082569
1,08/26/2014,225,5.842488888888891
1,08/26/2013,130,5.236153846153849
1,11/03/2015,205,5.3524878048780495
1,11/03/2014,223,4.998565022421525
1,03/16/2017,143,6.7020979020979015
1,03/16/2016,228,5.381798245614038
1,11/03/2013,350,4.362114285714283
1,03/16/2015,296,5.145743243243242
1,11/20/2016,157,5.078471337579621
1,11/20/2015,276,7.7490942028985526
1,08/09/2013,199,5.753366834170852
1,11/20/2014,291,5.842852233676977
1,11/20/2013,164,6.054085365853658
1,09/21/2014,407,4.879852579852577
1,09/21/2013,281,5.405088967971527
1,10/08/2013,166,6.340843373493976
1,09/21/2016,137,5.100583941605842
1,09/21/2015,220,5.598272727272727
1,04/11/2017,103,6.97242718446602
1,04/11/2016,200,5.2871999999999995
1,10/08/2016,199,4.808090452261307
1,04/11/2015,407,4.790565110565111
1,04/11/2014,353,5.688583569405101
1,10/08/2014,270,5.706962962962962
1,10/08/2015,223,5.711121076233182
1,04/11/2013,166,8.24698795180723
1,12/26/2014,161,5.961118012422356
1,12/26/2015,163,6.409754601226997
1,07/20/2016,182,5.49813186813187
1,12/26/2013,152,5.371710526315792
1,07/20/2017,86,7.316046511627912
1,07/20/2014,474,4.752088607594933
1,07/20/2015,233,6.347510729613731
1,07/20/2013,294,4.391496598639456
1,02/05/2015,319,5.348683385579936
1,02/05/2014,242,4.605867768595041
1,02/05/2013,124,7.170967741935478
1,02/05/2017,158,5.690696202531644
1,02/05/2016,221,7.700542986425336
1,10/25/2013,220,4.900545454545453
1,10/25/2014,396,4.879823232323231
1,12/26/2016,89,6.569999999999997
1,10/25/2015,330,4.836757575757576
1,10/25/2016,130,5.388923076923079
1,08/10/2016,148,5.497499999999999
1,08/10/2013,290,4.455965517241378
1,08/10/2014,454,4.820859030837003
1,08/10/2015,248,5.1671774193548385
1,05/14/2013,119,5.606554621848739
1,05/14/2014,291,5.553539518900349
1,06/25/2013,162,5.637283950617286
1,06/25/2016,294,6.610952380952381
1,05/14/2017,130,5.443307692307692
1,06/25/2017,178,5.131741573033708
1,06/25/2014,274,5.294233576642331
1,05/14/2015,284,5.924471830985914
1,05/14/2016,278,6.204316546762589
1,06/25/2015,287,6.215331010452954
1,12/06/2013,324,4.5085185185185175
1,12/06/2016,127,5.059370078740157
1,12/06/2014,427,4.503700234192038
1,12/06/2015,297,4.499528619528618
1,01/02/2014,215,4.534697674418608
1,01/02/2015,289,5.439411764705879
1,01/02/2016,250,5.102679999999996
1,01/02/2017,124,5.5421774193548385
1,11/23/2013,336,3.639226190476196
1,07/18/2017,65,6.388153846153845
1,03/16/2014,508,4.241181102362205
1,07/18/2015,305,4.797311475409836
1,07/18/2016,166,5.883493975903618
1,03/16/2013,347,7.8934005763688795
1,07/18/2013,149,6.219127516778525
1,07/18/2014,348,5.101034482758619
1,01/02/2013,140,6.180714285714286
1,11/03/2016,226,5.014557522123897
1,09/01/2016,191,4.888586387434556
1,09/01/2015,235,5.704765957446808
1,09/01/2014,312,5.47455128205128
1,09/01/2013,271,5.005461254612547
1,12/29/2016,152,5.706250000000001
1,12/29/2015,248,6.666693548387095
1,12/29/2014,254,6.1762992125984235
1,12/29/2013,297,6.092188552188552
1,03/13/2016,316,5.638291139240504
1,03/13/2017,138,5.550869565217389
1,03/13/2013,137,7.305109489051096
1,03/13/2014,272,5.136102941176471
1,08/23/2013,225,5.607466666666661
1,03/13/2015,379,5.630817941952501
1,08/23/2015,347,7.564870317002885
1,08/23/2014,446,4.963183856502245
1,11/23/2016,115,5.819043478260869
1,11/23/2015,193,5.948341968911914
1,11/23/2014,353,4.604645892351271
1,08/23/2016,165,5.814181818181815
1,10/05/2015,219,13.332922374429224
1,10/05/2016,118,5.235847457627115
1,10/05/2013,284,4.271161971830987
1,10/05/2014,405,4.768567901234562
1,01/12/2017,125,6.279839999999999
1,01/12/2016,189,5.017777777777779
1,01/12/2015,276,5.691739130434783
1,01/12/2014,415,5.074843373493974
1,01/12/2013,231,7.586580086580087
1,08/06/2014,243,5.013251028806585
1,02/28/2015,449,4.605345211581296
1,02/28/2016,280,5.139678571428571
1,08/06/2013,131,9.095877862595414
1,02/28/2013,195,5.200666666666668
1,02/28/2014,370,6.826027027027018
1,08/06/2016,203,5.3041379310344805
1,08/06/2015,243,5.385761316872429
1,01/22/2017,126,6.244047619047619
1,01/22/2016,251,4.97402390438247
1,01/22/2013,137,9.188321167883213
1,01/22/2015,242,5.615123966942153
1,01/22/2014,228,4.841359649122809
1,08/13/2015,237,5.899324894514767
1,10/28/2016,200,5.561599999999998
1,08/13/2016,265,4.6103773584905685
1,02/18/2013,167,8.41437125748503
1,10/28/2015,212,5.295660377358492
1,02/18/2014,245,5.041346938775506
1,10/28/2014,228,5.225701754385966
1,02/18/2015,356,5.529691011235954
1,02/18/2016,216,5.729212962962962
1,10/28/2013,135,4.192814814814815
1,02/18/2017,174,5.038735632183909
1,08/13/2013,127,4.798976377952757
1,08/13/2014,217,5.553824884792625
1,03/23/2014,455,4.541999999999997
1,03/23/2013,264,7.742840909090901
1,03/23/2017,157,6.469171974522294
1,03/23/2016,195,11.862820512820516
1,03/23/2015,303,5.732640264026399
1,11/30/2013,242,4.227685950413224
1,08/03/2013,237,4.553248945147682
1,10/15/2013,133,4.331954887218046
1,08/03/2014,441,4.727301587301587
1,08/03/2015,274,5.748722627737224
1,10/15/2016,182,4.793736263736266
1,06/12/2017,105,5.876380952380953
1,11/30/2016,126,5.98888888888889
1,06/12/2016,299,4.956354515050167
1,10/15/2014,275,5.219781818181822
1,11/30/2015,239,6.831799163179917
1,11/30/2014,464,7.108448275862067
1,10/15/2015,258,5.3694961240310075
1,06/12/2013,130,4.888461538461541
1,02/08/2013,188,7.910797872340424
1,02/08/2014,412,4.0154854368932025
1,06/12/2015,374,5.525882352941175
1,06/12/2014,278,5.792086330935248
1,02/08/2017,116,6.171551724137933
1,08/03/2016,154,5.39487012987013
1,02/08/2015,473,4.969154334038056
1,02/08/2016,220,5.854545454545453
1,05/27/2017,136,4.332500000000003
1,05/27/2016,263,6.328212927756651
1,05/27/2015,244,5.417540983606557
1,05/27/2014,236,5.432669491525424
1,05/27/2013,172,8.037499999999998
1,12/19/2016,143,5.25202797202797
1,12/19/2014,326,5.188588957055212
1,12/19/2015,391,4.103606138107417
1,12/19/2013,243,4.5657201646090515
1,05/17/2015,453,5.00412803532009
1,05/17/2014,529,4.925727788279769
1,05/17/2017,67,5.993731343283582
1,11/10/2016,139,5.251223021582734
1,05/17/2016,167,5.220359281437127
1,11/10/2014,249,5.068674698795182
1,06/22/2014,455,4.862725274725275
1,11/10/2015,205,5.967365853658535
1,06/22/2013,235,4.990297872340425
1,11/10/2013,299,3.9720401337792652
1,06/22/2017,93,6.223870967741937
1,06/22/2016,181,5.6943093922651915
1,06/22/2015,238,5.573067226890753
1,12/09/2013,233,3.718197424892704
1,12/09/2014,265,5.24358490566038
1,12/09/2015,187,9.836470588235294
1,12/09/2016,170,5.883882352941176
1,03/03/2017,164,5.656158536585367
1,03/03/2015,253,4.888853754940711
1,03/03/2016,240,5.561499999999996
1,03/03/2013,212,5.9887735849056565
1,05/17/2013,176,6.724886363636361
1,03/03/2014,316,4.433259493670881
1,02/20/2017,109,6.160733944954131
1,02/20/2013,143,7.152867132867134
1,02/20/2014,289,5.469065743944634
1,02/20/2015,386,5.553886010362699
1,02/20/2016,296,4.549864864864862
1,04/08/2016,298,4.756946308724832
1,11/22/2015,368,6.567690217391305
1,11/22/2016,129,4.565116279069769
1,04/08/2015,271,8.76225092250922
1,11/22/2013,248,4.363427419354842
1,04/08/2014,229,5.434934497816598
1,11/22/2014,355,4.744760563380278
1,04/08/2013,136,6.3916176470588235
1,12/16/2013,228,5.3478070175438575
1,12/16/2014,240,5.508708333333333
1,12/16/2015,227,5.152731277533039
1,12/16/2016,188,5.818457446808512
1,06/14/2016,210,6.427095238095234
1,06/14/2017,87,6.62735632183908
1,06/14/2014,443,4.811376975169297
1,06/14/2015,491,5.047596741344198
1,06/14/2013,163,5.856503067484665
1,07/08/2013,140,4.397785714285717
1,07/17/2013,116,5.232068965517241
1,07/17/2015,235,5.17659574468085
1,07/17/2014,333,5.466996996996995
1,07/17/2017,92,6.755760869565216
1,07/17/2016,268,5.294067164179106
1,04/01/2013,179,10.553910614525142
1,04/01/2015,243,5.392386831275718
1,04/01/2014,261,4.984214559386976
1,04/01/2017,170,4.767411764705884
1,04/01/2016,291,7.283127147766324
1,07/01/2013,168,3.574642857142857
1,07/01/2014,233,5.060772532188839
1,07/01/2017,121,4.930082644628098
1,07/01/2015,245,5.764530612244899
1,07/01/2016,247,6.042995951417004
1,03/14/2014,339,4.405545722713864
1,03/14/2013,188,7.837180851063827
1,03/14/2016,262,5.670267175572518
1,03/14/2015,649,4.728474576271182
1,03/14/2017,164,5.1879878048780474
1,04/17/2013,160,6.129062499999998
1,04/17/2014,326,5.641411042944789
1,11/13/2016,157,4.868535031847136
1,11/13/2015,313,6.036166134185299
1,01/01/2017,230,5.584565217391303
1,12/07/2015,179,5.612625698324021
1,12/07/2016,141,6.075106382978723
1,01/01/2013,350,7.982828571428565
1,12/07/2013,357,3.6310924369747917
1,12/07/2014,419,4.739474940334127
1,01/01/2014,543,4.265377532228358
1,01/01/2015,576,5.028038194444446
1,01/01/2016,497,4.661609657947684
1,03/05/2013,145,4.464551724137929
1,03/05/2014,257,5.189961089494156
1,12/25/2016,81,4.626049382716047
1,12/25/2015,149,5.083624161073827
1,03/05/2015,289,5.621384083044982
1,03/05/2016,296,7.81043918918919
1,03/05/2017,158,5.434746835443038
1,08/04/2014,271,5.892730627306275
1,08/04/2013,281,5.117330960854092
1,08/04/2016,171,5.518713450292395
1,08/04/2015,217,6.292304147465438
1,07/08/2014,236,5.785805084745764
1,07/08/2015,219,5.265022831050225
1,07/08/2016,219,5.5955707762557045
1,07/08/2017,91,5.868791208791209
1,04/17/2015,435,4.994045977011496
1,04/17/2016,298,4.768087248322145
1,04/17/2017,145,7.12544827586207
1,01/17/2017,116,6.495086206896551
1,11/29/2013,210,4.859666666666668
1,01/17/2016,337,6.035222551928782
1,01/17/2015,421,4.794394299287413
1,11/29/2014,284,6.152007042253521
1,11/29/2015,339,7.24740412979351
1,01/17/2014,297,4.4377777777777805
1,11/29/2016,91,6.795164835164834
1,01/17/2013,123,8.193902439024392
1,10/26/2015,244,10.261967213114747
1,05/04/2016,161,12.388757763975157
1,05/04/2017,147,6.390340136054426
1,10/26/2014,464,5.341271551724134
1,10/26/2016,153,5.21856209150327
1,05/04/2013,245,6.606326530612242
1,10/26/2013,310,4.058451612903224
1,05/04/2014,514,4.267256809338522
1,05/04/2015,257,5.221089494163422
1,01/08/2017,125,5.5875200000000005
1,01/08/2016,211,4.705687203791472
1,01/08/2013,111,16.519819819819816
1,12/25/2014,166,4.703734939759038
1,01/08/2015,306,5.23575163398693
1,12/25/2013,154,4.092402597402599
1,01/08/2014,299,5.069933110367891
1,04/08/2017,163,5.911901840490798
1,11/13/2014,304,5.145098684210525
1,11/13/2013,154,4.332337662337663
1,11/04/2013,155,4.386451612903226
1,11/04/2014,234,5.170940170940172
1,04/26/2017,90,5.223000000000001
1,11/04/2015,200,11.521749999999995
1,11/04/2016,200,6.381150000000006
1,04/26/2015,435,5.25848275862069
1,04/26/2016,228,4.788815789473684
1,04/26/2013,216,7.770185185185187
1,04/26/2014,474,4.547278481012661
1,01/10/2016,245,5.027918367346936
1,01/10/2015,478,6.139748953974895
1,01/10/2017,103,5.647669902912622
1,01/10/2014,335,4.832029850746267
1,01/10/2013,143,10.671188811188815
1,11/06/2016,196,5.2334693877551
1,11/06/2015,324,6.328703703703703
1,11/06/2014,304,5.853717105263156
1,11/06/2013,177,5.159604519774013
1,05/18/2014,479,4.9496659707724415
1,05/18/2013,254,5.922874015748037
1,10/19/2016,131,6.025419847328243
1,10/19/2014,448,5.1825892857142835
1,10/19/2015,229,5.718995633187771
1,10/19/2013,307,4.779739413680782
1,10/12/2013,276,4.435036231884056
1,10/12/2014,386,5.132124352331602
1,05/18/2016,189,5.035079365079365
1,05/18/2015,308,5.531363636363634
1,05/18/2017,98,5.770102040816327
1,08/29/2016,155,5.69309677419355
1,08/29/2014,390,5.2526923076923095
1,08/29/2015,361,7.694903047091417
1,08/29/2013,185,4.796756756756756
1,02/02/2017,126,6.374126984126986
1,02/02/2014,435,4.265540229885058
1,02/02/2013,230,8.164347826086951
1,02/02/2016,172,5.384244186046511
1,02/02/2015,333,5.0641441441441435
1,10/12/2015,240,4.971583333333334
1,10/12/2016,134,5.425074626865672
1,06/05/2017,122,6.371393442622953
1,06/05/2016,239,4.993765690376571
1,06/05/2013,123,5.482764227642277
1,03/30/2013,208,7.0039903846153875
1,03/30/2014,498,4.139357429718875
1,06/05/2015,358,5.005837988826814
1,06/05/2014,337,5.521483679525218
1,03/30/2017,145,6.290965517241379
1,03/30/2015,272,5.687683823529411
1,03/30/2016,200,4.967000000000002
1,01/15/2017,182,6.034945054945056
1,01/15/2016,243,5.427283950617282
1,09/14/2013,290,4.995896551724139
1,09/14/2014,448,5.336272321428568
1,02/27/2016,322,4.656832298136649
1,02/27/2017,131,5.431450381679392
1,09/14/2015,239,5.4997071129707145
1,09/14/2016,64,5.203124999999998
1,02/27/2014,308,4.70642857142857
1,02/27/2015,412,5.306286407766986
1,02/27/2013,173,6.992312138728324
1,08/20/2013,148,5.153175675675676
1,08/20/2014,290,5.394965517241373
1,08/20/2015,288,6.108124999999999
1,08/20/2016,221,4.520452488687784
1,07/10/2013,121,5.819586776859505
1,07/10/2014,253,5.433043478260872
1,07/10/2015,309,5.520776699029121
1,07/10/2016,213,6.338122065727696
1,07/10/2017,78,6.538076923076927
1,01/15/2013,113,8.916106194690263
1,01/15/2015,306,5.036209150326792
1,01/15/2014,219,4.873196347031966
1,05/11/2013,289,5.662422145328718
1,05/11/2014,412,4.601237864077672
1,05/11/2015,253,5.608695652173912
1,05/11/2016,196,5.835918367346942
1,05/11/2017,138,5.577028985507244
1,06/23/2016,235,6.852638297872337
1,06/23/2017,121,5.985289256198346
1,06/23/2013,311,4.843344051446948
1,06/23/2014,280,5.432999999999996
1,06/23/2015,242,6.106198347107438
1,04/24/2015,418,5.268301435406693
1,04/24/2016,263,9.438326996197718
1,04/24/2017,91,5.947692307692309
1,07/15/2013,124,4.9034677419354855
1,07/15/2014,216,5.153796296296297
1,07/15/2015,183,5.88322404371585
1,04/24/2013,128,5.4960937500000036
1,07/15/2016,234,6.210427350427348
1,04/24/2014,304,6.074144736842103
1,07/15/2017,116,5.239310344827588
1,08/27/2014,242,5.924297520661155
1,08/27/2015,253,5.939683794466406
1,08/27/2016,225,5.1583555555555565
1,08/02/2016,173,6.935202312138729
1,08/02/2015,433,5.088983833718238
1,08/27/2013,129,4.593953488372094
1,08/02/2014,428,5.143177570093456
1,08/02/2013,205,5.473512195121953
1,03/28/2015,445,4.970382022471905
1,03/28/2014,382,5.368455497382198
1,03/28/2013,159,5.706918238993711
1,02/22/2014,436,4.403142201834859
1,02/22/2013,234,5.848333333333336
1,02/22/2016,208,5.076009615384616
1,02/22/2015,549,4.761183970856103
1,02/22/2017,122,5.296393442622951
1,04/06/2014,462,4.61577922077922
1,04/06/2013,228,6.032456140350879
1,04/06/2016,200,6.237049999999999
1,04/06/2015,360,6.7433333333333305
1,04/06/2017,109,5.411467889908259
1,05/09/2017,136,5.587720588235294
1,11/15/2016,114,6.048245614035091
1,11/15/2015,370,5.241297297297292
1,11/15/2014,383,4.87613577023499
1,11/15/2013,262,4.085458015267176
1,12/14/2015,215,5.802325581395347
1,12/14/2016,130,5.397846153846154
1,12/14/2013,412,4.601310679611647
1,12/14/2014,415,4.913879518072291
1,06/21/2016,224,5.912946428571428
1,06/21/2017,77,5.97402597402597
1,06/21/2014,468,4.512457264957262
1,06/21/2015,361,5.671800554016625
1,06/21/2013,216,5.416018518518516
1,12/23/2013,234,4.4598290598290635
1,12/23/2014,206,5.002766990291265
1,12/23/2015,182,5.585989010989009
1,12/23/2016,124,4.557096774193549
1,05/22/2017,80,6.8382499999999995
1,05/22/2016,264,4.518712121212122
1,05/22/2015,421,5.207957244655581
1,05/09/2013,213,7.040563380281694
1,05/09/2014,490,5.2569387755102
1,05/22/2014,333,5.373543543543538
1,05/09/2015,385,4.901584415584411
1,05/22/2013,147,6.997755102040816
1,05/09/2016,200,5.187300000000001
1,04/03/2015,352,5.286846590909088
1,09/30/2014,222,6.169684684684682
1,04/03/2014,328,5.4565548780487765
1,09/30/2013,153,4.524248366013073
1,09/30/2016,183,4.972568306010931
1,04/03/2013,127,7.990236220472446
1,09/30/2015,209,5.874928229665076
1,04/03/2017,141,5.623404255319145
1,04/03/2016,316,5.186930379746837
1,02/09/2017,96,6.126562500000001
1,02/09/2016,194,5.034742268041237
1,02/09/2015,284,4.818978873239437
1,07/19/2013,222,5.2085585585585585
1,02/09/2014,403,4.420297766749379
1,02/09/2013,203,7.135369458128077
1,05/29/2016,350,4.808428571428569
1,05/29/2015,399,5.4055639097744335
1,05/29/2017,108,5.89564814814815
1,05/29/2014,283,5.503392226148414
1,05/29/2013,109,5.580733944954128
1,07/19/2017,67,6.78134328358209
1,07/19/2016,154,5.337987012987012
1,07/19/2015,388,5.045128865979377
1,07/19/2014,499,4.6342284569138315
1,01/31/2016,260,4.951846153846152
1,09/16/2014,222,5.174774774774778
1,01/31/2017,99,5.294949494949495
1,09/16/2013,146,4.786506849315071
1,01/31/2014,291,4.9007216494845345
1,09/16/2016,95,4.625263157894737
1,01/31/2015,422,4.737890995260665
1,09/16/2015,209,6.081626794258372
1,01/31/2013,170,7.25647058823529
1,10/30/2015,288,6.0848958333333325
1,10/30/2016,272,4.389338235294117
1,10/30/2013,175,4.839657142857143
1,10/30/2014,268,5.819701492537312
1,07/03/2013,126,4.988095238095238
1,07/03/2014,306,5.1358823529411755
1,07/03/2015,315,4.3228888888888894
1,07/03/2016,210,4.922619047619048
1,07/03/2017,77,5.243636363636363
1,06/07/2017,82,6.489146341463415
1,06/07/2016,163,6.773680981595093
1,06/07/2015,406,5.636182266009849
1,06/07/2014,492,4.4883130081300795
1,02/13/2013,173,8.800231213872836
1,06/07/2013,188,5.4326595744680874
1,02/13/2014,270,5.124370370370371
1,02/13/2015,423,5.529527186761227
1,02/13/2016,280,4.856178571428572
1,02/13/2017,121,5.453719008264464
1,07/12/2014,457,4.600568927789933
1,07/12/2013,188,5.9491489361702135
1,07/12/2016,157,7.672738853503183
1,09/07/2015,283,6.370106007067138
1,10/17/2016,111,5.281801801801802
1,07/12/2015,336,4.763988095238096
1,09/07/2016,134,5.508059701492537
1,07/12/2017,88,8.339318181818182
1,10/17/2013,183,5.499672131147542
1,10/17/2014,338,5.256923076923073
1,09/07/2013,269,4.072267657992566
1,10/17/2015,360,5.07761111111111
1,09/07/2014,377,5.074297082228112
1,03/25/2017,169,5.474082840236685
1,03/25/2013,134,14.270895522388063
1,03/25/2014,264,4.88397727272727
1,03/25/2015,244,5.32188524590164
1,03/25/2016,234,5.199658119658118
1,02/29/2016,235,6.059489361702129
1,10/10/2015,394,4.77631979695431
1,10/10/2016,130,6.426461538461537
1,10/10/2013,187,6.061925133689839
1,10/10/2014,313,5.6452715654952055
1,01/24/2017,117,6.128803418803418
1,01/24/2016,246,4.648373983739836
1,01/24/2015,370,4.883189189189188
1,01/24/2014,301,4.320398671096349
1,08/11/2014,242,4.646239669421488
1,08/11/2013,288,4.277118055555554
1,08/11/2016,180,5.790833333333333
1,08/11/2015,213,5.623098591549293
1,02/16/2014,448,4.544933035714285
1,02/16/2015,326,5.3617177914110385
1,02/16/2013,272,6.031874999999998
1,02/06/2017,124,4.886854838709679
1,12/27/2016,132,6.999848484848482
1,12/27/2015,234,5.879957264957262
1,12/27/2014,309,5.828155339805827
1,12/27/2013,212,5.435188679245284
1,02/06/2013,122,10.683196721311473
1,02/06/2014,306,4.683823529411764
1,02/06/2015,413,5.113970944309924
1,02/06/2016,245,4.466408163265308
1,06/30/2013,310,3.838258064516128
1,11/02/2015,221,5.323574660633482
1,06/30/2014,330,4.878000000000001
1,11/02/2016,130,5.8425384615384655
1,06/30/2015,199,4.694572864321607
1,06/30/2016,169,7.986508875739644
1,06/30/2017,111,6.201801801801802
1,12/30/2016,154,6.270844155844153
1,09/03/2016,180,5.433277777777779
1,12/30/2015,243,5.39477366255144
1,09/03/2015,229,6.3582096069868985
1,12/30/2014,234,6.111068376068373
1,12/30/2013,232,5.367586206896549
1,07/26/2013,179,4.492625698324023
1,07/26/2017,75,6.284933333333336
1,07/26/2016,165,5.485939393939394
1,07/26/2015,345,5.442231884057973
1,09/03/2014,249,5.785100401606422
1,07/26/2014,438,4.678082191780818
1,09/03/2013,135,6.587851851851855
1,04/10/2016,269,4.993308550185875
1,04/10/2017,101,7.1034653465346524
1,10/03/2015,339,4.517050147492625
1,10/03/2016,121,5.211570247933885
1,10/03/2013,174,5.194137931034485
1,10/03/2014,403,5.2433498759305195
1,04/10/2014,318,5.398616352201261
1,04/10/2015,372,5.432849462365595
1,04/10/2013,162,7.834629629629632
1,12/20/2013,314,4.854745222929934
1,12/20/2015,306,4.96232026143791
1,11/02/2013,319,3.9878369905956115
1,12/20/2014,401,4.921770573566079
1,11/02/2014,454,4.401475770925108
1,12/20/2016,149,5.319194630872481
1,05/25/2016,174,6.394540229885058
1,05/25/2015,313,10.0864536741214
1,05/25/2017,97,6.557731958762888
1,05/25/2014,512,4.921308593750005
1,05/25/2013,275,5.913709090909086
1,07/06/2016,173,6.73971098265896
1,07/06/2017,86,5.136162790697676
1,07/06/2014,354,4.9859887005649695
1,07/06/2015,264,14.028371212121213
1,07/06/2013,192,3.893906250000002
1,08/18/2015,240,7.064416666666672
1,08/18/2014,244,5.994344262295082
1,08/18/2013,279,5.296666666666662
1,03/21/2014,364,4.515082417582415
1,03/21/2013,182,7.508241758241759
1,03/21/2016,202,5.705792079207921
1,08/18/2016,156,5.361410256410254
1,03/21/2015,474,4.831286919831227
1,03/21/2017,147,6.208435374149666
1,05/02/2013,180,6.123722222222222
1,05/02/2016,169,5.000473372781068
1,05/02/2017,120,6.105166666666667
1,05/02/2014,381,4.786194225721783
1,05/02/2015,480,4.795145833333331
1,08/31/2016,127,5.259685039370081
1,08/31/2015,216,5.912268518518523
1,08/31/2014,418,5.039306220095688
1,08/31/2013,284,4.459366197183096
1,02/16/2016,197,5.249086294416245
1,02/16/2017,124,6.246209677419357
1,10/23/2016,209,4.924019138755981
1,10/23/2015,294,5.716802721088436
1,01/24/2013,143,15.008461538461535
1,09/23/2014,235,5.408425531914895
1,09/23/2013,123,4.983902439024391
1,09/23/2016,168,5.604166666666668
1,09/23/2015,223,5.891345291479824
1,03/28/2017,137,6.485401459854015
1,03/28/2016,226,7.292256637168144
